grade,de,en,tr,article
A1,Ab,Away,Uzak,-
B1,Abbeigen,Turn away,Geri dön,-
B1,Abbildung,illustration,illüstrasyon,die
A1,Abend,evening,akşam,der
A2,Abendessen,Dinner,Akşam yemeği,das
A2,Abends,At evening,Akşam,-
B1,Abendzeitung,Evening newspaper,Akşam gazetesi,die
B1,Abenteu,Adventure,Macera,-
A1,Aber,But,Ancak,das
A1,Abfahren,Depart,Kalkış,das
B1,Abfall,Waste,Atık,der
B1,Abfalleimer,Trash can,Çöp tenekesi,der
B1,Abflagen,Drop off,Bırakma,-
A1,Abfliegen,Depart,Kalkış,das
B1,Abgase,Exhaust fumes,Egzoz dumanları,-
A1,Abgeben,Hand over,Devretmek,das
B1,Abgebogen,Bent,Bükülmüş,-
B1,Abgehangen,Detached,Müstakil,-
B1,Abgemacht,Deal,Anlaşmak,-
B1,Abgeschlossenes,Completed,Tamamlanmış,-
B1,Abgewaschen,Washed off,Yıkanmış,-
B1,Abheben,Lift up,Yukarı kaldır,das
A1,Abholen,Pick up,Toplamak,das
B1,Abhängen,Depend,Bağlı olmak,das
B1,Abhängig,Dependent,bağımlı,-
A2,Abkürzung,abbreviation,kısaltma,die
B1,Ablaufen,Expire,Süresi dolmuş,das
B1,Ablehnen,Refuse,Reddetmek,das
A1,Ableitbaren,Derivatable,Türetilebilir,-
B1,Ableitung,Derivation,Türetme,die
B1,Abmechen,Abmechen,Abmechen,-
B1,Abnehmen,Lose weight,Kilo vermek,das
B1,Abo,Subscription,Abonelik,das
B1,Abonnement,subscription,abonelik,das
B1,Abonnieren,Subscribe,Abone,das
B1,Absagen,Cancel,İptal etmek,das
B1,Abschied,Farewell,Veda,der
A2,Abschließen,Complete,Tamamlamak,das
B1,Abschluss,Diploma,Diploma,der
B1,Abschneten,Snow cutting,Kar kesme,-
B1,Abschreiben,Write off,Hurdaya çıkarmak,das
A1,Absender,sender,gönderen,der
B1,Absenderin,Sender,Gönderen,die
B1,Absicht,Intention,Niyet,die
B1,Absolut,Absolutely,Kesinlikle,-
B1,Abstimmen,Vote,Oy,das
A2,Abteilung,Department,Departman,die
B1,Abwart,Wait and see,Bekle ve gör,der
B1,Abwartin,waitress,Garson,die
B1,Abwaschen,Wash off,Yıkayın,das
B1,Abwesend,Absent,Mevcut olmayan,-
B1,Abwärts,Down,Aşağı,-
B1,Abzuholen,To be picked up,Alınacak,-
A2,Ach,Oh,Ah,das
A1,Acht,Eight,Sekiz,die
B1,Achten,Regard,Saygınlık,das
A1,Achtung,Danger,Tehlike,die
A1,Achtzehn,Eighteen,On sekiz,-
A2,Achtzehnhundertachtundvierzig,Eighteen hundred and forty-eight,Bin sekiz yüz kırk sekiz,-
A1,Achtzig,Eighty,Seksen,die
A1,Adresse,address,adres,die
A1,Adult,Adult,Yetişkin,-
A2,Ahnung,Idea,Fikir,die
B1,Ahs,Ahs,Ah,-
B1,Akademie,academy,akademi,die
B1,Akku,Battery,Pil,der
B1,Akkumulator,accumulator,akümülatör,der
B1,Aktion,action,aksiyon,die
B1,Aktivität,activity,aktivite,die
A1,Aktualisierten,of updated ones,güncellenenlerden,-
